Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,200,3219,46,169,17,53,0,5,11,198,5,14,23,699,759,0,382,44,49,52,379
47,409,1548,4,26,0,6,0,0,4,507,0,46,7,28,430,24,0,48,2,3,0
6,235,1370,21,77,1,25,18,8,3,426,105,29,14,172,29,0,234,41,168,49,152
0,395,5100,3,16,0,3,216,4,2,65,2,6,260,147,140,0,0,77,10,29,0
0,19,44,0,3,0,4,0,1,1,22,0,5,1,10,17,36,692,6,5,5,8
0,105,2590,89,116,26,86,3,11,159,995,16,86,16,398,167,1,785,448,106,247,65
0,65,417,1,4,0,3,1,1,0,2,0,1,8,1,47,0,0,1,0,3,10
2,1286,3156,15,122,3,38,48,6,21,863,19,89,81,803,609,59,0,602,84,113,400
2,901,2938,7,55,35,42,0,4,2,470,0,43,0,572,84,3,2,67,81,81,27
9,788,2981,46,106,2,550,0,6,35,1117,35,94,65,1689,381,3,1208,59,32,304,26
0,133,4082,768,486,303,358,0,41,452,3173,1,121,126,525,598,142,726,2840,518,236,464
1,833,2322,56,62,1,95,12,5,45,312,50,191,77,199,139,0,0,321,240,76,0
7,408,2996,55,93,0,32,4,3,8,525,0,97,63,117,86,0,5,173,318,31,0
0,516,5242,61,38,0,6,0,1,25,262,0,52,54,92,122,0,1,113,23,4,248
0,34,1272,6,2,0,2,71,1,0,31,0,4,5,8,65,0,0,19,4,7,0
0,80,366,38,14,6,6,0,0,40,159,1,20,8,30,16,44,0,43,30,17,43
0,44,665,13,25,0,3,0,8,26,58,3,2,0,114,25,37,0,50,33,4,0
0,173,170,6,10,0,23,0,0,1,68,0,4,29,62,37,0,224,15,5,12,19
0,336,5121,10,56,3,2,77,2,3,523,0,5,58,23,718,0,0,112,30,76,0
0,62,1000,30,16,0,24,0,2,0,228,1,91,1,28,4,29,0,64,8,25,0
0,144,1452,72,54,2,21,0,7,12,90,4,11,7,94,89,66,1,240,65,32,0
0,53,3040,6,23,0,7,5,2,1,53,0,31,12,39,24,0,0,7,44,6,9
0,0,1935,12,17,2,3,47,5,1,81,0,172,0,46,0,0,0,41,10,32,0
0,3307,14050,9,88,403,5,461,31,0,53,22,3,109,2199,7751,0,2051,66,98,87,1207
3,0,2716,35,41,0,30,6,4,13,0,0,0,0,41,34,156,24,36,32,10,0
0,353,1485,11,10,7,7,4,2,12,216,3,47,15,466,113,25,597,77,5,22,79
0,0,2083,15,11,0,14,4,0,12,85,5,90,0,97,0,0,794,15,247,1,6
0,19,5680,1,12,1,1,0,0,0,0,1,3,0,7,32,5,0,0,1,13,0
0,0,600,4,7,0,2,0,1,0,8,0,6,0,2,70,0,0,17,3,4,0
0,0,4229,6,14,0,3,1,5,1,7,0,22,0,2,91,0,0,28,38,2,0
0,24,1335,18,1,1,3,0,0,0,40,0,3,0,17,92,0,0,3,11,319,39
0,29,2076,24,13,2,24,2,0,4,105,0,89,0,14,58,0,0,3,4,161,107
0,0,9059,52,59,19,49,174,0,98,0,0,105,0,0,2059,0,1,139,58,809,0
0,0,372,2,6,0,0,3,1,0,5,0,0,0,2,0,0,1,8,0,3,0
