Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
1,4,20,1,1,1,1,1,1,1,6,1,1,1,2,2,1,1,3,1,1,1
1,1,20,1,1,1,2,1,1,3,18,1,2,1,2,1,1,1,2,2,3,1
1,5,20,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,4,20,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,4,1,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,4,20,5,7,1,2,1,1,1,4,1,1,1,2,1,2,1,2,16,5,1
2,1,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1
1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,4,20,1,1,1,1,1,1,1,8,1,1,1,3,2,1,1,6,10,7,1
1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,4,20,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1
3,13,20,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,2,1,1,1
1,1,20,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,2,1,2,1
1,4,20,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,2,1,1
1,1,20,1,2,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,5,20,1,2,1,1,3,1,1,12,2,1,1,6,3,1,9,1,2,2,1
1,12,20,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,2,1
1,5,20,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,2
1,3,20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,1,20,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1
1,6,20,1,2,1,2,1,1,1,3,1,1,1,5,7,6,12,4,14,3,3
1,2,20,1,1,1,1,1,1,1,5,1,2,1,3,2,1,5,2,2,1,1
1,4,20,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,2
1,2,20,1,3,1,5,1,1,1,15,1,7,1,4,1,1,1,18,2,13,1
1,2,20,1,1,1,1,2,1,1,8,1,1,1,1,1,1,1,1,1,1,3
1,1,2,1,4,1,1,1,1,1,13,1,1,1,20,1,3,6,13,5,7,1
1,1,4,1,2,1,1,6,1,1,2,4,1,1,3,1,3,1,3,8,20,1
1,3,20,1,1,1,3,1,1,1,4,1,2,1,3,2,1,1,3,4,2,1
1,5,18,2,5,1,10,1,1,1,17,2,3,1,11,5,1,20,5,6,16,2
1,4,20,2,4,1,1,1,1,1,20,1,1,1,1,3,4,1,9,3,4,1
